,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,gdp, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,log_rate
18,2013,1,77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414,1.3,1.4,0.759,14.2,4.359269647551265
19,2012,1,76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,4247,1.3,1.4,0.752,14.2,4.355425952876702
20,2011,1,76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437,1.4,1.5,0.738,13.3,4.351567427189173
21,2010,1,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494,1.4,1.5,0.725,12.5,4.3463994570307305
22,2009,1,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114,1.5,1.6,0.721,12.2,4.345103280569283
23,2008,1,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437,1.6,1.6,0.713,12.0,4.334672938290411
24,2007,1,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363,1.6,1.7,0.703,11.6,4.3425058765115985
25,2006,1,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35,1.7,1.8,0.696,11.4,4.320151230955794
26,2005,1,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279,1.8,1.8,0.685,10.8,4.310799125385514
27,2004,1,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416,1.8,1.9,0.681,10.9,4.30406509320417
28,2003,1,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189,1.9,2.0,0.674,10.7,4.301358731606427
29,2002,1,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453,2.0,2.1,0.67,10.7,4.308110951723713
30,2001,1,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326,2.1,2.1,0.662,10.6,4.312140507209715
31,2000,1,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175,2.1,2.2,0.656,10.7,4.298645025734831
32,2015,1,75.6,19,21,0.0,0.0,95,63,59.5,24,95,0.0,95,0.1,4132,6.0,5.8,0.743,14.4,4.338597076746545
33,2014,1,75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547,6.0,5.8,0.741,14.4,4.335982696172475
34,2013,1,75.3,112,21,0.53,544.4507432,95,25,57.2,24,95,7.12,95,0.1,5471,5.9,5.8,0.737,14.4,4.334672938290411
35,2012,1,75.1,113,21,0.66,555.9260834,95,18,56.1,24,95,6.14,95,0.1,5564,5.9,5.8,0.732,14.4,4.33204826486764
36,2011,1,74.9,116,21,0.56,509.0020405,95,112,55.0,24,95,5.29,95,0.1,5432,5.9,5.8,0.724,14.0,4.3294166844015844
37,2010,1,74.7,119,21,0.45,430.7175861,95,103,53.9,24,95,5.12,95,0.1,4463,5.9,5.8,0.714,13.6,4.3267781604434035
38,2009,1,74.4,123,20,0.5,352.0636419,94,107,52.8,23,94,5.36,95,0.1,3868,6.0,5.9,0.705,13.1,4.32280727501391
39,2008,1,74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,495,6.0,5.9,0.697,12.6,4.318820558770089
40,2007,1,73.8,129,20,0.44,320.3239241,9,0,5.8,23,95,3.82,95,0.1,3935,6.0,5.9,0.69,12.3,4.314817884980432
41,2006,1,73.4,132,20,0.36,270.2401962,8,944,49.8,23,95,3.36,95,0.1,3464,6.1,6.0,0.686,12.3,4.309455941839047
42,2005,1,72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,31,6.1,6.0,0.68,12.0,4.302712827954156
43,2004,1,72.3,14,19,0.45,220.393699,81,3289,47.9,23,86,3.54,86,0.1,2598,6.2,6.1,0.673,11.7,4.294560608892605
44,2003,1,71.7,146,20,0.34,25.0185226,0,15374,47.0,23,87,3.6,87,0.1,294,6.3,6.1,0.663,11.5,4.286341384539473
45,2002,1,71.6,145,20,0.36,148.5119843,0,5862,46.1,23,86,3.73,86,0.1,1774,6.3,6.2,0.653,11.1,4.28496492183075
46,2001,1,71.4,145,20,0.23,147.9860714,0,2686,45.3,24,89,3.84,89,0.1,1732,6.4,6.3,0.644,10.9,4.282206299391671
47,2000,1,71.3,145,21,0.25,154.4559436,0,0,44.4,25,86,3.49,86,0.1,1757,6.5,6.4,0.636,10.7,4.280824129164719
48,2015,1,52.4,335,66,0.0,0.0,64,118,23.3,98,7,0.0,64,1.9,3695,8.3,8.2,0.531,11.4,3.977810745966149
49,2014,1,51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2.0,479,8.5,8.3,0.527,11.4,3.9646154555473165
50,2013,1,51.1,355,69,8.1,35.95857279,77,8523,22.1,105,67,4.26,77,2.3,484,8.6,8.5,0.523,11.4,3.9531649487593215
51,2012,1,56.0,358,72,8.24,256.1225243,75,4458,21.5,110,75,3.3,75,2.6,4598,8.8,8.6,0.508,10.3,4.04305126783455
52,2011,1,51.0,361,75,8.06,239.8913921,72,1449,21.0,115,73,3.38,71,2.5,4299,8.9,8.8,0.495,9.4,3.9512437185814275
53,2010,1,49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529,9.1,9.0,0.488,9.0,3.92395157629342
54,2009,1,49.1,369,81,7.01,212.9229325,61,2807,19.8,127,63,4.37,6,2.5,3347,9.3,9.2,0.48,8.5,3.914021008090819
55,2008,1,48.7,371,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,3868,9.5,9.4,0.468,8.1,3.906004933102583
56,2007,1,48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878,9.6,9.6,0.454,7.7,3.8958936234982624
57,2006,1,47.7,381,90,5.84,25.08688824,0,765,18.2,143,36,4.54,34,2.5,262,9.8,9.7,0.439,7.2,3.885679030088544
58,2005,1,47.4,382,92,5.04,98.19145117,0,258,17.7,148,39,4.1,38,2.6,1443,1.0,9.9,0.426,6.8,3.879499813722586
59,2004,1,47.1,386,94,3.53,8.8667775,0,29,17.2,152,4,4.71,4,2.5,141,1.2,1.1,0.415,6.4,3.8732821771117156
60,2003,1,46.8,388,95,3.49,35.93349121,0,1196,16.8,155,4,4.41,4,2.4,779,1.4,1.3,0.406,5.9,3.86702563949741
61,2002,1,46.5,391,96,2.82,24.037942,0,11945,16.3,157,37,3.63,41,2.3,711,1.5,1.5,0.401,5.5,3.8607297110405954
62,2001,1,45.7,44,97,2.58,30.35993647,0,9046,15.8,159,41,5.38,38,2.1,526,1.7,1.7,0.391,5.1,3.8437441646748516
63,2000,1,45.3,48,97,1.85,15.88149254,0,2219,15.4,160,3,2.79,28,2.0,555,1.9,1.9,0.382,4.6,3.835141961092188
64,2015,1,76.4,13,0,0.0,0.0,99,0,47.7,0,86,0.0,99,0.2,13566,3.3,3.3,0.784,13.9,4.3489867805956814
65,2014,1,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888,3.3,3.3,0.782,13.9,4.3463994570307305
66,2013,1,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224,3.3,3.3,0.781,13.9,4.345103280569283
67,2012,1,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565,3.3,3.3,0.778,13.8,4.3425058765115985
68,2011,1,75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,11929,3.3,3.3,0.782,14.1,4.33990170837321
69,2010,1,75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,12126,3.3,3.3,0.783,14.1,4.338597076746545
70,2009,1,75.4,14,0,7.82,149.3587355,98,0,43.8,0,98,4.86,99,0.1,1312,3.4,3.3,0.788,14.2,4.335982696172475
71,2008,1,75.2,142,0,8.27,180.7762695,98,0,43.2,0,99,4.69,99,0.1,1473,3.4,3.3,0.786,14.4,4.333361462692601
72,2007,1,75.0,144,0,8.64,257.9665308,97,0,42.6,0,98,4.27,99,0.1,14252,3.4,3.3,0.781,14.5,4.330733340286331
73,2006,1,74.8,145,0,8.93,216.3146941,99,0,42.0,0,99,4.34,99,0.1,12724,3.4,3.4,0.773,14.7,4.328098292648326
74,2005,1,74.6,147,0,8.15,1455.608186,99,0,41.4,0,98,4.41,99,0.1,11371,3.5,3.4,0.0,0.0,4.3254562831854875
75,2004,1,74.4,149,0,7.28,22.86295206,97,0,4.8,0,97,4.21,97,0.1,1352,3.5,3.4,0.0,0.0,4.32280727501391
76,2003,1,74.2,151,0,7.16,1158.065259,99,0,4.1,0,99,4.53,99,0.1,9739,3.5,3.5,0.0,0.0,4.320151230955794
77,2002,1,74.0,153,0,7.21,927.4075855,99,0,39.5,0,93,4.41,98,0.1,9386,3.6,3.5,0.0,0.0,4.31748811353631
78,2001,1,73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,9358,3.6,3.5,0.0,0.0,4.314817884980432
79,2000,1,73.6,156,0,7.27,1127.74347,0,0,38.2,0,96,4.13,95,0.1,9875,3.7,3.6,0.0,0.0,4.312140507209715
80,2015,1,76.3,116,8,0.0,0.0,94,0,62.8,9,93,0.0,94,0.1,13467,1.0,0.9,0.826,17.3,4.3476939555933765
81,2014,1,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245,1.0,0.9,0.825,17.3,4.3463994570307305
82,2013,1,76.0,119,8,8.28,1001.796332,94,0,61.6,10,99,4.99,94,0.1,12976,1.0,0.9,0.823,17.3,4.343805421853684
83,2012,1,75.9,12,9,8.35,1133.558003,91,2,61.0,10,99,5.2,91,0.1,12969,1.0,0.9,0.822,17.2,4.3425058765115985
84,2011,1,75.7,12,9,8.11,1504.329462,91,3,6.4,10,93,5.89,91,0.1,12726,1.0,0.9,0.816,17.1,4.33990170837321
85,2010,1,75.5,121,10,8.15,187.610955,94,17,59.8,11,95,6.55,94,0.1,1276,1.0,0.9,0.802,16.8,4.33729074083249
86,2009,1,75.6,126,10,8.33,1398.042623,94,3,59.2,11,97,7.63,94,0.1,8161,1.0,0.9,0.794,16.5,4.338597076746545
87,2008,1,75.4,126,10,8.41,1413.73543,9,0,58.6,11,94,6.66,93,0.1,8953,1.0,0.9,0.792,16.3,4.335982696172475
88,2007,1,74.8,129,10,8.16,1105.659031,85,0,58.0,12,92,6.49,91,0.1,7193,1.1,0.9,0.788,16.3,4.328098292648326
89,2006,1,75.2,127,11,7.75,961.1774676,84,0,57.5,12,92,6.68,91,0.1,5878,1.1,0.9,0.782,16.1,4.333361462692601
90,2005,1,74.9,127,11,7.53,96.16653429,88,0,56.9,12,95,6.85,98,0.1,576,1.1,1.0,0.78,16.3,4.3294166844015844
91,2004,1,74.7,13,11,7.63,719.3663797,81,0,56.3,12,91,6.84,98,0.1,4251,1.1,1.0,0.775,16.3,4.3267781604434035
92,2003,1,74.1,137,11,7.62,57.58467352,73,0,55.7,13,95,8.22,96,0.1,333,1.2,1.0,0.77,16.4,4.318820558770089
93,2002,1,74.1,138,12,7.81,470.1869145,66,0,55.1,13,94,8.31,93,0.1,2579,1.2,1.0,0.776,16.3,4.318820558770089
94,2001,1,74.0,138,12,7.76,123.0128671,0,0,54.6,13,85,9.38,83,0.1,717,1.2,1.1,0.771,15.6,4.31748811353631
95,2000,1,74.1,137,12,7.68,1349.025282,0,6,54.0,14,88,9.21,83,0.1,7669,1.2,1.1,0.764,15.0,4.318820558770089
96,2015,1,74.8,118,1,0.0,0.0,94,33,54.9,1,96,0.0,94,0.1,369,2.1,2.2,0.741,12.7,4.328098292648326
97,2014,1,74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,3994,2.1,2.1,0.739,12.7,4.3254562831854875
98,2013,1,74.4,123,1,3.79,279.4290812,95,10,53.3,1,96,4.55,95,0.1,3843,2.1,2.1,0.736,12.7,4.32280727501391
99,2012,1,74.4,121,1,3.89,274.1526986,95,0,52.6,1,96,4.48,95,0.1,3684,2.0,2.1,0.732,12.7,4.32280727501391
100,2011,1,73.9,128,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,3526,2.0,2.1,0.729,12.7,4.316153890523174
101,2010,1,73.5,132,1,4.23,224.3212014,94,2,51.2,1,96,4.56,94,0.1,3218,2.0,2.1,0.72,12.3,4.310799125385514
102,2009,1,73.3,137,1,3.96,201.1855461,93,0,5.7,1,94,4.55,93,0.1,2993,2.0,2.1,0.725,11.9,4.308110951723713
103,2008,1,73.2,14,1,3.96,2.8888979,89,0,5.1,1,91,3.8,89,0.1,41,2.0,2.1,0.721,12.3,4.3067641501733345
104,2007,1,73.5,132,1,3.99,44.57219966,85,1,49.7,1,9,4.31,88,0.1,3138,2.0,2.1,0.707,11.7,4.310799125385514
105,2006,1,72.9,141,1,4.01,244.5352767,78,137,49.2,1,87,4.58,87,0.1,2158,2.0,2.1,0.692,11.2,4.302712827954156
106,2005,1,73.0,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643,2.0,2.1,0.679,10.9,4.30406509320417
107,2004,1,73.0,132,1,3.81,97.74087744,91,1783,48.4,1,93,5.5,91,0.1,1191,2.0,2.1,0.668,10.9,4.30406509320417
108,2003,1,72.7,134,1,3.03,7.341493148,93,4,48.1,1,96,5.56,94,0.1,93,2.0,2.1,0.657,10.8,4.300002799195291
109,2002,1,72.6,134,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,783,2.1,2.1,0.645,10.8,4.298645025734831
110,2001,1,72.6,141,1,2.86,53.19373012,69,69,47.4,1,97,5.94,94,0.1,694,2.1,2.1,0.644,11.1,4.298645025734831
111,2000,1,72.0,142,1,2.9,32.75626853,55,15,47.1,1,96,6.25,93,0.1,622,2.1,2.2,0.639,11.2,4.290459441148391
112,2015,0,82.8,59,1,0.0,0.0,93,74,66.6,1,93,0.0,93,0.1,56554,0.6,0.6,0.937,20.4,4.428433007488037
113,2014,0,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214,0.6,0.6,0.936,20.4,4.4272389774954295
114,2013,0,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792,0.6,0.6,0.933,20.3,4.42484663185681
115,2012,0,82.3,61,1,10.03,11714.99858,91,199,65.0,1,92,9.36,92,0.1,67677,0.6,0.6,0.93,20.1,4.422448549172797
116,2011,0,82.0,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245,0.6,0.6,0.927,19.8,4.418840607796598
117,2010,0,81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,51874,0.7,0.6,0.927,19.5,4.417635062141249
118,2009,0,81.7,66,1,10.62,7172.275229,94,104,63.4,1,92,9.5,92,0.1,42742,0.7,0.6,0.925,19.1,4.415219602029645
119,2008,0,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664,0.7,0.6,0.921,19.1,4.410371107683024
120,2007,0,81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,4991,0.7,0.6,0.918,19.0,4.410371107683024
121,2006,0,81.2,66,1,10.31,6187.062017,95,0,62.0,2,92,8.49,92,0.1,36118,0.7,0.6,0.915,20.3,4.409155302062135
122,2005,0,81.0,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416,0.7,0.6,0.91,20.3,4.406719247264253
123,2004,0,86.0,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,3472,0.7,0.6,0.908,20.7,4.465908118654584
124,2003,0,83.0,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,23465,0.7,0.7,0.905,20.6,4.430816798843313
125,2002,0,79.9,73,1,9.84,46.3871819,95,32,59.6,2,92,8.39,92,0.1,281,0.7,0.7,0.902,20.1,4.393213824064446
126,2001,0,79.9,75,1,9.53,3064.301144,94,141,59.0,2,91,8.18,92,0.1,19517,0.7,0.7,0.899,20.5,4.393213824064446
127,2000,0,79.5,78,1,10.17,347.18736,0,108,58.2,2,9,8.8,9,0.1,2169,0.7,0.7,0.897,20.4,4.388257184424518
128,2015,0,81.5,65,0,0.0,0.0,93,309,57.6,0,93,0.0,93,0.1,43665,1.9,2.1,0.892,15.9,4.412798293340635
129,2014,0,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322,1.8,2.0,0.892,15.9,4.411585436915426
130,2013,0,81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554,1.8,2.0,0.887,15.7,4.407938016458383
131,2012,0,88.0,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333,1.8,2.0,0.884,15.7,4.48863636973214
132,2011,0,88.0,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126,1.7,2.0,0.88,15.7,4.48863636973214
133,2010,0,84.0,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,46657,1.7,1.9,0.872,15.4,4.442651256490317
134,2009,0,82.0,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,47654,1.7,1.9,0.87,15.3,4.418840607796598
135,2008,0,84.0,76,0,12.0,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386,1.7,1.9,0.864,15.1,4.442651256490317
136,2007,0,81.0,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586,1.7,1.9,0.86,15.2,4.406719247264253
137,2006,0,79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443,1.7,1.9,0.854,15.0,4.39197696552705
138,2005,0,79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,38242,1.7,1.9,0.848,14.9,4.387014176184921
139,2004,0,79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693,1.7,1.9,0.841,14.7,4.385769620952716
140,2003,0,78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212,1.7,1.9,0.837,14.7,4.379523504455763
141,2002,0,78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351,1.7,1.9,0.847,16.1,4.378269585796169
142,2001,0,78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489,1.7,1.9,0.837,15.5,4.377014092850337
143,2000,0,78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,24517,1.7,1.9,0.833,15.4,4.370712874773608
144,2015,1,72.7,118,5,0.0,0.0,96,0,52.5,6,98,0.0,96,0.1,55,2.8,2.9,0.758,12.7,4.300002799195291
145,2014,1,72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,7891,2.8,2.9,0.752,12.2,4.297285406218791
146,2013,1,72.2,121,5,2.14,275.6514934,93,164,5.6,6,96,5.54,93,0.1,7875,2.8,2.8,0.745,11.9,4.293195420967266
147,2012,1,71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,7496,2.8,2.8,0.742,11.8,4.289088639014612
148,2011,1,71.6,125,5,1.98,263.142699,84,0,48.8,6,91,5.1,87,0.1,7189,2.8,2.9,0.741,11.7,4.28496492183075
149,2010,1,71.1,13,5,1.98,246.5686008,8,0,48.0,6,85,5.33,81,0.1,5842,2.8,2.9,0.737,11.7,4.278054044290903
150,2009,1,78.0,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,495,2.8,2.9,0.728,11.6,4.3694478524670215
151,2008,1,73.0,141,6,1.18,206.2616134,68,5,46.6,6,85,4.37,81,0.1,5574,2.8,2.9,0.719,11.6,4.30406509320417
152,2007,1,73.0,14,6,1.02,176.0107106,62,0,45.9,7,81,5.1,79,0.1,3851,2.8,2.9,0.708,11.6,4.30406509320417
153,2006,1,69.2,154,6,0.85,105.6337264,52,222,45.3,7,8,6.17,78,0.1,2473,2.9,2.9,0.682,10.7,4.251348311031766
154,2005,1,68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,1578,2.9,3.0,0.675,11.2,4.239886867512759
155,2004,1,68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145,3.0,3.0,0.668,11.0,4.239886867512759
156,2003,1,67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,883,3.0,3.0,0.659,10.8,4.231203744939298
157,2002,1,67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,763,3.1,3.1,0.651,10.6,4.231203744939298
158,2001,1,67.5,151,8,0.51,4.104190077,0,574,42.6,10,77,4.48,77,0.1,73,3.1,3.1,0.642,10.4,4.22683374526818
159,2000,1,66.6,16,9,0.65,35.09462644,0,210,42.1,11,75,4.67,76,0.1,655,3.2,3.1,0.636,10.1,4.213607983048918
160,2015,1,76.1,147,0,0.0,0.0,95,0,64.5,0,95,0.0,95,0.1,0,2.5,2.5,0.79,12.6,4.345103280569283
161,2014,1,75.4,16,0,9.45,0.0,96,0,63.8,0,96,7.74,96,0.1,0,2.5,2.5,0.789,12.6,4.335982696172475
162,2013,1,74.8,172,0,9.42,0.0,97,0,63.2,0,97,7.5,97,0.1,0,2.5,2.5,0.79,12.6,4.328098292648326
163,2012,1,74.9,167,0,9.5,0.0,96,0,62.6,0,99,7.43,98,0.2,0,2.5,2.5,0.789,12.6,4.3294166844015844
164,2011,1,75.0,162,0,9.34,0.0,95,0,62.0,0,97,7.63,98,0.1,0,2.5,2.5,0.788,12.6,4.330733340286331
165,2010,1,75.0,161,0,9.19,0.0,98,0,61.3,0,97,7.44,99,0.2,0,2.5,2.5,0.788,12.6,4.330733340286331
166,2009,1,74.6,168,0,9.29,0.0,95,0,6.7,0,97,7.43,96,0.1,0,2.5,2.5,0.791,12.6,4.3254562831854875
167,2008,1,74.5,167,0,10.15,0.0,9,0,6.1,0,93,7.3,93,0.1,0,2.5,2.5,0.791,12.6,4.324132656254979
168,2007,1,74.4,167,0,10.75,0.0,93,0,59.4,0,95,7.8,95,0.1,0,2.5,2.5,0.79,12.5,4.32280727501391
169,2006,1,74.2,171,0,11.07,0.0,96,0,58.7,0,94,6.93,95,0.1,0,2.5,2.5,0.788,12.4,4.320151230955794
170,2005,1,74.1,172,0,10.49,0.0,93,0,58.1,0,93,5.95,93,0.1,0,2.6,2.5,0.786,12.4,4.318820558770089
171,2004,1,73.8,174,0,10.1,0.0,93,0,57.4,0,92,6.2,93,0.1,0,2.6,2.5,0.784,12.3,4.314817884980432
172,2003,1,73.2,189,0,10.68,0.0,88,0,56.7,0,93,5.62,92,0.1,0,2.6,2.5,0.783,12.2,4.3067641501733345
173,2002,1,73.1,19,0,10.85,0.0,89,0,56.0,0,93,5.26,94,0.1,0,2.6,2.6,0.781,12.1,4.3054155323020415
174,2001,1,72.9,189,0,11.64,0.0,21,0,55.2,0,98,5.15,99,0.2,0,2.7,2.6,0.779,12.1,4.302712827954156
175,2000,1,72.6,192,0,12.15,0.0,0,0,54.4,0,91,5.21,99,0.1,0,2.7,2.6,0.0,12.0,4.298645025734831
176,2015,1,76.9,69,0,0.0,0.0,98,0,63.6,0,98,0.0,98,0.1,22688,6.2,6.1,0.823,14.5,4.355425952876702
177,2014,1,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,24983,6.1,6.0,0.82,14.5,4.354141431184346
178,2013,1,76.7,7,0,1.65,3.968695982,99,0,62.2,0,99,4.69,99,0.1,251,6.1,6.0,0.815,14.5,4.3528552573736015
179,2012,1,76.5,71,0,1.7,2211.215778,99,0,61.5,0,99,4.37,99,0.1,23649,6.1,6.0,0.812,14.5,4.350277936359301
180,2011,1,76.1,76,0,1.66,197.7734681,99,0,6.8,0,99,3.4,99,0.1,2281,6.1,6.0,0.812,14.4,4.345103280569283
181,2010,1,76.1,73,0,1.93,266.7696122,99,0,6.1,0,99,3.64,99,0.1,2722,6.0,5.9,0.81,14.4,4.345103280569283
182,2009,1,76.0,74,0,1.95,332.9347646,98,3,59.3,0,97,3.79,98,0.1,19356,6.0,5.9,0.814,14.4,4.343805421853684
183,2008,1,75.8,76,0,2.0,231.5478912,97,2,58.5,0,97,3.17,97,0.1,2367,6.0,5.9,0.815,14.4,4.341204640153626
184,2007,1,75.6,77,0,2.0,278.3602806,97,7,57.6,0,97,3.8,97,0.1,2977,6.1,5.9,0.813,14.4,4.338597076746545
185,2006,1,75.5,79,0,2.1,170.7374027,98,3,56.8,0,98,3.8,98,0.1,1937,6.1,5.9,0.81,14.2,4.33729074083249
